flair,/fleər/,instinto
mare,/mer/,yegua
prey,/preɪ/,presa
inn,/ɪn/,posada
wound,/wuːnd/,herida
cellar,/ˈsel.ɚr/,bodega
chase,/tʃeɪs/,persecución
vagrant,/ˈveɪ.ɡrənt/,vagabundo
shiver,/ˈʃɪv.ɚr/,escalofrío
grief,/ɡriːf/,dolor
escort,esˈkɔːrt,escolta
hue,/hjuː/,matíz
desire,/dɪˈzaɪr/,deseo
boyhood,/ˈbɔɪ.hʊd/,niñez
foal,/foʊl/,potro
pond,/pɑːnd/,estanque
bribe,/braɪb/,soborno
scrap,/skræp/,chatarra
rubbish,/ˈrʌb.ɪʃ/,basura
sod,/sɑːd/,césped
shrine,/ʃrɑɪn/,santuario
wart,/wɔrt/,verruga
mange,/meɪndʒ/,sarna
fang,/fæŋ/,colmillo
rib,/rɪb/,costilla
mud,/mʌd/,barro
gut,/ɡʌt/,intestino
sprain,/spreɪn/,esguince
rash,/ræʃ/,sarpullido
hike,/haɪk/,caminata
headache,/ˈhed.eɪk/,dolor de cabeza
stanza,/ˈstæn.zə/,estrofa
snore,/snɔːr/,ronquido
slumber,/ˈslʌm.bɚ/,sueño
relief,/rɪˈliːf/,alivio
chin,/tʃɪn/,mentón|barbilla
lap,/læp/,regazo
witness,/ˈwɪt.nəs/,testigo
sink,/sɪŋk/,lavamanos|lavabo
trickle,/ˈtrɪk.əl/,chorrito
cocoon,/kəˈkuːn/,capullo
velvet,/ˈvel.vɪt/,terciopelo
embrace,/ɪmˈbreɪs/,abrazo
gnat,/næt/,mosquito
groan|moan,/ɡroʊn/|/mon/,gemido
haunt,/hɑːnt/,guarida
shudder,/ˈʃʌd.ɚ/,estremecimiento
stab,/stæb/,puñalada
mist,/mɪst/,niebla
gut,/ɡʌt/,intestino
ivy,/ˈaɪ.vi/,hiedra
jaw,/dʒɑː/,mandíbula
grunt|snarl|growl,/ɡrʌnt/|/snɑːrl/|/ɡraʊl/,gruñido
creak,/kriːk/,crujido
scratch,/skrætʃ/,rasguño
gaze,/ɡeɪz/,mirada
grin,/ɡrɪn/,mueca
flurry,/ˈflɝː.i/,ráfaga
sigh,/saɪ/,suspiro
yell,/jel/,grito
kidnapper,/ˈkɪd.næp.ɚ/,secuestrador
wink,/wɪŋk/,guiño
odds,/ɑːdz/,posibilidades
leap,/liːp/,salto
shrug,/ʃrʌɡ/,encogimiento de hombros
napkin,/ˈnæp.kɪn/,servilleta
liability,/ˌlaɪ.əˈbɪl.ə.t̬i/,responsabilidad
stealth,/stelθ/,sigilo
alley,/ˈæl.i/,callejón
stove,/stoʊv/,estufa
dessert,/dɪˈzɝːt/,postre
crowd,/kraʊd/,público|multitud
hilt,/hɪlt/,empuñadura
shriek,/ʃriːk/,grito|chillido
hound,/haʊnd/,sabueso
shoulder,/ˈʃoʊl.dɚ/,hombro
sob,/sɑːb/,sollozo
grip,/ɡrɪp/,apretón
cottage,/ˈkɑː.t̬ɪdʒ/,cabaña
snout,/snaʊt/,hocico
wrath,/rɑːθ/,ira
realm|kingdom,/relm/,reino
treaty,/ˈtriː.t̬i/,tratado
gore,/ɡɔːr/,sangre
fate,/feɪt/,destino
corpse,/kɔːrps/,cadaver
loophole,/ˈluːp.hoʊl/,escapatoria
belly,/ˈbel.i/,vientre
brow,/braʊ/,ceja
bother|hassle,/ˈbɑː.ðɚ/|/ˈhasol/,molestia
slit,/slɪt/,abertura
venison,/ˈven.ə.sən/,venado
snare,/sner/,trampa
bruise,/bruːz/,moretón
poverty,/ˈpɑː.vɚ.r̬i/,pobreza
uprising,/ˈʌpˌraɪ.zɪŋ/,levantamiento
dwelling,/ˈdwel.ɪŋ/,vivienda
saddle,/ˈsæd.əl/,silla de montar
rift,/rɪft/,grieta
sake,/seɪk/,motivo
tang,/tæŋ/,sabor
limb,/lɪm/,miembro
sentry,/ˈsen.tri/,centinela
estate,/ɪˈsteɪt/,inmueble
wisdom,/ˈwɪz.dəm/,sabiduría
trouble,/ˈtrʌb.əl/,problema
sting,/stɪŋ/,picadura
dirt,/dɝːt/,suciedad
